researchers,projects,edgelabel
Spernovasilis N.,
Kritsotakis E.I.,
Mathioudaki A.,
Vouidaski A.,
Spanias C.,
Petrodaskalaki M.,
Ioannou P.,
Chamilos G.,
Kofteridis D.P., A carbapenem-focused antimicrobial stewardship programme implemented during the COVID-19 pandemic in a setting of high endemicity for multidrug-resistant Gram-negative bacteria
flag
Politis M.,
Sotiriou S.,
Doxani C.,
Stefanidis I.,
Zintzaras E.,
Rachiotis G., Healthcare Workers’ Attitudes towards Mandatory COVID-19 Vaccination: A Systematic Review and Meta-Analysis
flag
Zachari S.,
Papagiannis D.,
Kotsiou O.,
Malli F.,
Fradelos E.C.,
Gourgoulianis K.I., Factors of Compliance of Dental Patients in Primary Health Care Services during the Pandemic
flag
Moudatsou M.,
Stavropoulou A.,
Rovithis M.,
Koukouli S., Views and Challenges of COVID-19 Vaccination in the Primary Health Care Sector. A Qualitative Study
flag
Papandreou A.,
Mavrogalou A.,
Periferakis A.-T.,
Periferakis A.,
Badarau I.A.,
Popa-Velea O.,
Scheau C., The Effects of COVID-19 on the Emotional and Social Stability, Motivation and Attitudes of Gifted and Non-Gifted Children in Greece
flag
Tzamali E.,
Sakkalis V.,
Tzedakis G.,
Spanakis E.G.,
Tzanakis N., Mathematical Modeling Evaluates How Vaccinations Affected the Course of COVID-19 Disease Progression
flag
Kartsoni E.,
Bakalis N.,
Markakis G.,
Zografakis-Sfakianakis M.,
Patelarou E.,
Patelarou A., Distance Learning in Nursing Education during the COVID-19 Pandemic: Psychosocial Impact for the Greek Nursing Students—A Qualitative Approach
flag
Cylus J.,
Walters J.,
Mckee M.,
Cowley P., Consumption and tax gains attributable to Covid-19 vaccinations in 12 EU countries with low vaccination rates
flag
Maltezou H.C.,
Basoulis D.,
Bonelis K.,
Gamaletsou M.N.,
Giannouchos T.V.,
Karantoni E.,
Karapanou Α.,
Kounouklas K.,
Livanou M.E.,
Zotou M.,
Rapti V.,
Stamou P.,
Loulakis D.,
Souliotis K.,
Chini M.,
Panagopoulos P.,
Poulakou G.,
